Q Learning,Optimal,Basic,Random
-0.06548175865294668,-0.12931885488647582,-0.4009950248756219,-0.34917555771096026
-0.03383458646616541,-0.03578528827037773,-0.3541666666666667,-0.3219844357976654
-0.05545112781954887,-0.09741550695825049,-0.3256972111553785,-0.3543078412391094
-0.03461538461538462,-0.09027777777777778,-0.34860557768924305,-0.38424591738712777
-0.09523809523809523,-0.07960199004975124,-0.3562189054726368,-0.39303000968054214
-0.07599309153713299,-0.04658077304261645,-0.3091451292246521,-0.4093113482056256
-0.06987295825771325,-0.10327706057596822,-0.33001988071570576,-0.39825581395348836
-0.06887052341597796,-0.0981169474727453,-0.34061569016881826,-0.33495145631067963
-0.08998144712430427,-0.04558969276511397,-0.27761194029850744,-0.3269230769230769
-0.09671361502347418,-0.08838133068520357,-0.3582089552238806,-0.3911792905081496
-0.07015902712815715,-0.136318407960199,-0.3592039800995025,-0.39341085271317827
-0.05154639175257732,-0.10625620655412116,-0.33565737051792827,-0.37072243346007605
-0.053953488372093024,-0.039721946375372394,-0.3210735586481113,-0.3416988416988417
-0.06896551724137931,-0.09514370664023786,-0.33664349553128103,-0.3627546071774976
