Presentable Results 1 Good win percentage but risky play
Running Blackjack
2
Player: Dave, Hand: 32, Profit: -2, Outcome: LOSS
Player: Connor, Hand: 33, Profit: -2, Outcome: LOSS
Player: William, Hand: 33, Profit: -2, Outcome: LOSS
Player: J.D., Hand: 33, Profit: -2, Outcome: LOSS
Player: Dave, Hand: 33, Profit: -2, Outcome: LOSS
Player: Connor, Hand: 34, Profit: -2, Outcome: LOSS
Player: William, Hand: 34, Profit: 2, Outcome: WIN
Player: J.D., Hand: 34, Profit: -2, Outcome: LOSS
Player: Dave, Hand: 34, Profit: -2, Outcome: LOSS
Player: Connor, Hand: 35, Profit: -2, Outcome: LOSS
Player: William, Hand: 35, Profit: -2, Outcome: LOSS
Player: J.D., Hand: 35, Profit: -2, Outcome: LOSS
Player: Dave, Hand: 35, Profit: -2, Outcome: LOSS
Player: Connor, Hand: 36, Profit: 3.0, Outcome: WIN
Player: Connor, Hand: 36, Profit: 2, Outcome: WIN
Player: William, Hand: 36, Profit: 4, Outcome: WIN
Player: J.D., Hand: 36, Profit: 4, Outcome: WIN
Player: Dave, Hand: 36, Profit: -2, Outcome: LOSS
Player: Connor, Hand: 37, Profit: 2, Outcome: WIN
Player: William, Hand: 37, Profit: -2, Outcome: LOSS
Player: J.D., Hand: 37, Profit: -2, Outcome: LOSS
Player: Dave, Hand: 37, Profit: -2, Outcome: LOSS
Player: Connor, Hand: 38, Profit: 2, Outcome: WIN
Player: William, Hand: 38, Profit: 0, Outcome: PUSH
Player: J.D., Hand: 38, Profit: -2, Outcome: LOSS
Player: Dave, Hand: 38, Profit: -2, Outcome: LOSS
Player: Connor, Hand: 39, Profit: 2, Outcome: WIN
Player: William, Hand: 39, Profit: 0, Outcome: PUSH
Player: J.D., Hand: 39, Profit: -2, Outcome: LOSS
Player: Dave, Hand: 39, Profit: -2, Outcome: LOSS
Player: Connor, Hand: 40, Profit: -2, Outcome: LOSS
Player: William, Hand: 40, Profit: 0, Outcome: PUSH
Player: J.D., Hand: 40, Profit: 0, Outcome: PUSH
Player: Dave, Hand: 40, Profit: -2, Outcome: LOSS
Player: Connor, Hand: 41, Profit: 2, Outcome: WIN
Player: William, Hand: 41, Profit: -2, Outcome: LOSS
Player: J.D., Hand: 41, Profit: 4, Outcome: WIN
Player: Dave, Hand: 41, Profit: -2, Outcome: LOSS
Player: Connor, Hand: 42, Profit: -2, Outcome: LOSS
Player: William, Hand: 42, Profit: 2, Outcome: WIN
Player: J.D., Hand: 42, Profit: -2, Outcome: LOSS
Player: Dave, Hand: 42, Profit: 0, Outcome: PUSH
Player: Connor, Hand: 43, Profit: 2, Outcome: WIN
Player: William, Hand: 43, Profit: -2, Outcome: LOSS
Player: J.D., Hand: 43, Profit: -2, Outcome: LOSS
Player: Dave, Hand: 43, Profit: -2, Outcome: LOSS
Player: Connor, Hand: 44, Profit: -2, Outcome: LOSS
Player: Connor, Hand: 44, Profit: 2, Outcome: WIN
Player: William, Hand: 44, Profit: 2, Outcome: WIN
Player: J.D., Hand: 44, Profit: 0, Outcome: PUSH
Player: Dave, Hand: 44, Profit: -2, Outcome: LOSS
Player: Connor, Hand: 45, Profit: 2, Outcome: WIN
Player: Connor, Hand: 45, Profit: 2, Outcome: WIN
Player: Connor, Hand: 45, Profit: 2, Outcome: WIN
Player: Connor, Hand: 45, Profit: 2, Outcome: WIN
Player: Connor, Hand: 45, Profit: 2, Outcome: WIN
Player: William, Hand: 45, Profit: 0, Outcome: PUSH
Player: J.D., Hand: 45, Profit: 4, Outcome: WIN
Player: Dave, Hand: 45, Profit: 4, Outcome: WIN
Player: Dave, Hand: 45, Profit: 4, Outcome: WIN
Player: Connor, Hand: 46, Profit: 0, Outcome: PUSH
Player: Connor, Hand: 46, Profit: -2, Outcome: LOSS
Player: William, Hand: 46, Profit: 4, Outcome: WIN
Player: J.D., Hand: 46, Profit: -2, Outcome: LOSS
Player: Dave, Hand: 46, Profit: -2, Outcome: LOSS
Player: Connor, Hand: 47, Profit: 2, Outcome: WIN
Player: William, Hand: 47, Profit: 0, Outcome: PUSH
Player: J.D., Hand: 47, Profit: -2, Outcome: LOSS
Player: Dave, Hand: 47, Profit: -2, Outcome: LOSS
Player: Connor, Hand: 48, Profit: -2, Outcome: LOSS
Player: William, Hand: 48, Profit: 2, Outcome: WIN
Player: J.D., Hand: 48, Profit: -2, Outcome: LOSS
Player: Dave, Hand: 48, Profit: -2, Outcome: LOSS
Player: Connor, Hand: 49, Profit: -2, Outcome: LOSS
Player: William, Hand: 49, Profit: -2, Outcome: LOSS
Player: J.D., Hand: 49, Profit: -2, Outcome: LOSS
Player: Dave, Hand: 49, Profit: -2, Outcome: LOSS
Player: Connor, Hand: 50, Profit: 3.0, Outcome: WIN
Player: Connor, Hand: 50, Profit: -2, Outcome: LOSS
Player: William, Hand: 50, Profit: -2, Outcome: LOSS
Player: J.D., Hand: 50, Profit: -2, Outcome: LOSS
Player: Dave, Hand: 50, Profit: -2, Outcome: LOSS
Player: Connor, Hand: 51, Profit: -2, Outcome: LOSS
Player: William, Hand: 51, Profit: -2, Outcome: LOSS
Player: J.D., Hand: 51, Profit: -2, Outcome: LOSS
Player: Dave, Hand: 51, Profit: 0, Outcome: PUSH
Player: Connor, Hand: 52, Profit: 2, Outcome: WIN
Player: William, Hand: 52, Profit: 2, Outcome: WIN
Player: J.D., Hand: 52, Profit: -2, Outcome: LOSS
Player: Dave, Hand: 52, Profit: 2, Outcome: WIN
Player: Connor, Hand: 53, Profit: 0, Outcome: PUSH
Player: William, Hand: 53, Profit: -2, Outcome: LOSS
Player: J.D., Hand: 53, Profit: -2, Outcome: LOSS
Player: Dave, Hand: 53, Profit: -2, Outcome: LOSS
Player: Connor, Hand: 54, Profit: 2, Outcome: WIN
Player: William, Hand: 54, Profit: -2, Outcome: LOSS
Player: J.D., Hand: 54, Profit: 4, Outcome: WIN
Player: Dave, Hand: 54, Profit: -2, Outcome: LOSS
Player: Connor, Hand: 55, Profit: -2, Outcome: LOSS
Player: William, Hand: 55, Profit: -2, Outcome: LOSS
Player: J.D., Hand: 55, Profit: -2, Outcome: LOSS
Player: Dave, Hand: 55, Profit: -2, Outcome: LOSS
Player: Dave, Hand: 55, Profit: -2, Outcome: LOSS
Player: Connor, Hand: 56, Profit: -2, Outcome: LOSS
Player: William, Hand: 56, Profit: 2, Outcome: WIN
Player: J.D., Hand: 56, Profit: 0, Outcome: PUSH
Player: Dave, Hand: 56, Profit: -2, Outcome: LOSS
Player: Connor, Hand: 57, Profit: 2, Outcome: WIN
Player: William, Hand: 57, Profit: 2, Outcome: WIN
Player: J.D., Hand: 57, Profit: 4, Outcome: WIN
Player: Dave, Hand: 57, Profit: 2, Outcome: WIN
Player: Connor, Hand: 58, Profit: 2, Outcome: WIN
Player: William, Hand: 58, Profit: -2, Outcome: LOSS
Player: J.D., Hand: 58, Profit: 0, Outcome: PUSH
Player: Dave, Hand: 58, Profit: 4, Outcome: WIN
Player: Connor, Hand: 59, Profit: -2, Outcome: LOSS
Player: William, Hand: 59, Profit: 4, Outcome: WIN
Player: J.D., Hand: 59, Profit: 4, Outcome: WIN
Player: Dave, Hand: 59, Profit: 2, Outcome: WIN
Player: Connor, Hand: 60, Profit: -2, Outcome: LOSS
Player: William, Hand: 60, Profit: -2, Outcome: LOSS
Player: J.D., Hand: 60, Profit: 0, Outcome: PUSH
Player: Dave, Hand: 60, Profit: -2, Outcome: LOSS
Player: Connor, Hand: 61, Profit: -2, Outcome: LOSS
Player: William, Hand: 61, Profit: 0, Outcome: PUSH
Player: J.D., Hand: 61, Profit: 4, Outcome: WIN
Player: Dave, Hand: 61, Profit: -2, Outcome: LOSS
Player: Connor, Hand: 62, Profit: 0, Outcome: PUSH
Player: William, Hand: 62, Profit: -2, Outcome: LOSS
Player: J.D., Hand: 62, Profit: 0, Outcome: PUSH
Player: Dave, Hand: 62, Profit: 2, Outcome: WIN
Player: Connor, Hand: 63, Profit: 0, Outcome: PUSH
Player: William, Hand: 63, Profit: 4, Outcome: WIN
Player: J.D., Hand: 63, Profit: 4, Outcome: WIN
Player: Dave, Hand: 63, Profit: 2, Outcome: WIN
Player: Connor, Hand: 64, Profit: 2, Outcome: WIN
Player: William, Hand: 64, Profit: 2, Outcome: WIN
Player: J.D., Hand: 64, Profit: -2, Outcome: LOSS
Player: Dave, Hand: 64, Profit: -2, Outcome: LOSS
Player: Connor, Hand: 65, Profit: 2, Outcome: WIN
Player: William, Hand: 65, Profit: -2, Outcome: LOSS
Player: J.D., Hand: 65, Profit: -2, Outcome: LOSS
Player: Dave, Hand: 65, Profit: -2, Outcome: LOSS
Player: Connor, Hand: 66, Profit: 2, Outcome: WIN
Player: William, Hand: 66, Profit: 2, Outcome: WIN
Player: J.D., Hand: 66, Profit: -2, Outcome: LOSS
Player: Dave, Hand: 66, Profit: -2, Outcome: LOSS
Player: Connor, Hand: 67, Profit: 2, Outcome: WIN
Player: William, Hand: 67, Profit: 4, Outcome: WIN
Player: J.D., Hand: 67, Profit: -2, Outcome: LOSS
Player: Dave, Hand: 67, Profit: 2, Outcome: WIN
Player: Connor, Hand: 68, Profit: 2, Outcome: WIN
Player: William, Hand: 68, Profit: -2, Outcome: LOSS
Player: J.D., Hand: 68, Profit: -2, Outcome: LOSS
Player: Dave, Hand: 68, Profit: -2, Outcome: LOSS
Player: Connor, Hand: 69, Profit: 0, Outcome: PUSH
Player: William, Hand: 69, Profit: 2, Outcome: WIN
Player: J.D., Hand: 69, Profit: -2, Outcome: LOSS
Player: Dave, Hand: 69, Profit: -2, Outcome: LOSS
Player: Connor, Hand: 70, Profit: -2, Outcome: LOSS
Player: William, Hand: 70, Profit: -2, Outcome: LOSS
Player: J.D., Hand: 70, Profit: -2, Outcome: LOSS
Player: Dave, Hand: 70, Profit: -2, Outcome: LOSS
Player: Connor, Hand: 71, Profit: -2, Outcome: LOSS
Player: William, Hand: 71, Profit: -2, Outcome: LOSS
Player: J.D., Hand: 71, Profit: -2, Outcome: LOSS
Player: Dave, Hand: 71, Profit: -2, Outcome: LOSS
Player: Connor, Hand: 72, Profit: 2, Outcome: WIN
Player: William, Hand: 72, Profit: 2, Outcome: WIN
Player: J.D., Hand: 72, Profit: -2, Outcome: LOSS
Player: Dave, Hand: 72, Profit: 4, Outcome: WIN
Player: Connor, Hand: 73, Profit: -2, Outcome: LOSS
Player: William, Hand: 73, Profit: -2, Outcome: LOSS
Player: J.D., Hand: 73, Profit: 4, Outcome: WIN
Player: Dave, Hand: 73, Profit: -2, Outcome: LOSS
Player: Connor, Hand: 74, Profit: 2, Outcome: WIN
Player: William, Hand: 74, Profit: 2, Outcome: WIN
Player: J.D., Hand: 74, Profit: 4, Outcome: WIN
Player: Dave, Hand: 74, Profit: 2, Outcome: WIN
Player: Connor, Hand: 75, Profit: 2, Outcome: WIN
Player: William, Hand: 75, Profit: -2, Outcome: LOSS
Player: J.D., Hand: 75, Profit: 4, Outcome: WIN
Player: Dave, Hand: 75, Profit: -2, Outcome: LOSS
Player: Connor, Hand: 76, Profit: -2, Outcome: LOSS
Player: William, Hand: 76, Profit: 2, Outcome: WIN
Player: J.D., Hand: 76, Profit: -2, Outcome: LOSS
Player: Dave, Hand: 76, Profit: -2, Outcome: LOSS
Player: Connor, Hand: 77, Profit: 4, Outcome: WIN
Player: William, Hand: 77, Profit: -2, Outcome: LOSS
Player: J.D., Hand: 77, Profit: -2, Outcome: LOSS
Player: Dave, Hand: 77, Profit: 2, Outcome: WIN
Player: Connor, Hand: 78, Profit: -2, Outcome: LOSS
Player: William, Hand: 78, Profit: -2, Outcome: LOSS
Player: J.D., Hand: 78, Profit: -2, Outcome: LOSS
Player: Dave, Hand: 78, Profit: -2, Outcome: LOSS
Player: Connor, Hand: 79, Profit: -2, Outcome: LOSS
Player: William, Hand: 79, Profit: 0, Outcome: PUSH
Player: J.D., Hand: 79, Profit: -2, Outcome: LOSS
Player: Dave, Hand: 79, Profit: -2, Outcome: LOSS
Player: Connor, Hand: 80, Profit: 3.0, Outcome: WIN
Player: William, Hand: 80, Profit: 2, Outcome: WIN
Player: J.D., Hand: 80, Profit: -2, Outcome: LOSS
Player: Dave, Hand: 80, Profit: -2, Outcome: LOSS
Player: Connor, Hand: 81, Profit: -2, Outcome: LOSS
Player: William, Hand: 81, Profit: 2, Outcome: WIN
Player: J.D., Hand: 81, Profit: -2, Outcome: LOSS
Player: Dave, Hand: 81, Profit: 4, Outcome: WIN
Player: Connor, Hand: 82, Profit: 2, Outcome: WIN
Player: William, Hand: 82, Profit: 2, Outcome: WIN
Player: J.D., Hand: 82, Profit: 4, Outcome: WIN
Player: Dave, Hand: 82, Profit: 2, Outcome: WIN
Player: Connor, Hand: 83, Profit: -2, Outcome: LOSS
Player: William, Hand: 83, Profit: 0, Outcome: PUSH
Player: J.D., Hand: 83, Profit: -2, Outcome: LOSS
Player: Dave, Hand: 83, Profit: -2, Outcome: LOSS
Player: Connor, Hand: 84, Profit: -2, Outcome: LOSS
Player: William, Hand: 84, Profit: -2, Outcome: LOSS
Player: J.D., Hand: 84, Profit: -2, Outcome: LOSS
Player: Dave, Hand: 84, Profit: -2, Outcome: LOSS
Player: Connor, Hand: 85, Profit: 2, Outcome: WIN
Player: William, Hand: 85, Profit: -2, Outcome: LOSS
Player: J.D., Hand: 85, Profit: -2, Outcome: LOSS
Player: Dave, Hand: 85, Profit: 4, Outcome: WIN
Player: Connor, Hand: 86, Profit: -2, Outcome: LOSS
Player: William, Hand: 86, Profit: 2, Outcome: WIN
Player: J.D., Hand: 86, Profit: 4, Outcome: WIN
Player: Dave, Hand: 86, Profit: 2, Outcome: WIN
Player: Connor, Hand: 87, Profit: 2, Outcome: WIN
Player: William, Hand: 87, Profit: -2, Outcome: LOSS
Player: J.D., Hand: 87, Profit: -2, Outcome: LOSS
Player: Dave, Hand: 87, Profit: -2, Outcome: LOSS
Player: Connor, Hand: 88, Profit: -2, Outcome: LOSS
Player: William, Hand: 88, Profit: 0, Outcome: PUSH
Player: J.D., Hand: 88, Profit: -2, Outcome: LOSS
Player: Dave, Hand: 88, Profit: -2, Outcome: LOSS
Player: Connor, Hand: 89, Profit: 2, Outcome: WIN
Player: William, Hand: 89, Profit: 2, Outcome: WIN
Player: J.D., Hand: 89, Profit: 4, Outcome: WIN
Player: Dave, Hand: 89, Profit: -2, Outcome: LOSS
Player: Connor, Hand: 90, Profit: 2, Outcome: WIN
Player: William, Hand: 90, Profit: -2, Outcome: LOSS
Player: J.D., Hand: 90, Profit: -2, Outcome: LOSS
Player: Dave, Hand: 90, Profit: -2, Outcome: LOSS
Player: Connor, Hand: 91, Profit: 2, Outcome: WIN
Player: Connor, Hand: 91, Profit: 0, Outcome: PUSH
Player: William, Hand: 91, Profit: -2, Outcome: LOSS
Player: J.D., Hand: 91, Profit: -2, Outcome: LOSS
Player: Dave, Hand: 91, Profit: -2, Outcome: LOSS
Player: Connor, Hand: 92, Profit: -2, Outcome: LOSS
Player: William, Hand: 92, Profit: 2, Outcome: WIN
Player: J.D., Hand: 92, Profit: -2, Outcome: LOSS
Player: Dave, Hand: 92, Profit: -2, Outcome: LOSS
Player: Connor, Hand: 93, Profit: 2, Outcome: WIN
Player: William, Hand: 93, Profit: 4, Outcome: WIN
Player: J.D., Hand: 93, Profit: 4, Outcome: WIN
Player: Dave, Hand: 93, Profit: 2, Outcome: WIN
Player: Connor, Hand: 94, Profit: -2, Outcome: LOSS
Player: William, Hand: 94, Profit: -2, Outcome: LOSS
Player: J.D., Hand: 94, Profit: -2, Outcome: LOSS
Player: Dave, Hand: 94, Profit: 0, Outcome: PUSH
Player: Connor, Hand: 95, Profit: 2, Outcome: WIN
Player: William, Hand: 95, Profit: -2, Outcome: LOSS
Player: J.D., Hand: 95, Profit: 4, Outcome: WIN
Player: Dave, Hand: 95, Profit: -2, Outcome: LOSS
Player: Connor, Hand: 96, Profit: 0, Outcome: PUSH
Player: William, Hand: 96, Profit: -2, Outcome: LOSS
Player: J.D., Hand: 96, Profit: 0, Outcome: PUSH
Player: Dave, Hand: 96, Profit: -2, Outcome: LOSS
Player: Connor, Hand: 97, Profit: 2, Outcome: WIN
Player: Connor, Hand: 97, Profit: 0, Outcome: PUSH
Player: William, Hand: 97, Profit: -2, Outcome: LOSS
Player: J.D., Hand: 97, Profit: 4, Outcome: WIN
Player: Dave, Hand: 97, Profit: -2, Outcome: LOSS
Player: Connor, Hand: 98, Profit: 2, Outcome: WIN
Player: William, Hand: 98, Profit: -2, Outcome: LOSS
Player: J.D., Hand: 98, Profit: 4, Outcome: WIN
Player: Dave, Hand: 98, Profit: -2, Outcome: LOSS
Player: Connor, Hand: 99, Profit: -2, Outcome: LOSS
Player: William, Hand: 99, Profit: 2, Outcome: WIN
Player: William, Hand: 99, Profit: 2, Outcome: WIN
Player: J.D., Hand: 99, Profit: -2, Outcome: LOSS
Player: Dave, Hand: 99, Profit: -2, Outcome: LOSS
Player: Connor, Hand: 100, Profit: 0, Outcome: PUSH
Player: William, Hand: 100, Profit: -2, Outcome: LOSS
Player: J.D., Hand: 100, Profit: 4, Outcome: WIN
Player: Dave, Hand: 100, Profit: 2, Outcome: WIN
Player: Connor, Hand: 101, Profit: -2, Outcome: LOSS
Player: William, Hand: 101, Profit: 2, Outcome: WIN
Player: J.D., Hand: 101, Profit: -2, Outcome: LOSS
Player: Dave, Hand: 101, Profit: -2, Outcome: LOSS
Player: Connor, Hand: 102, Profit: -2, Outcome: LOSS
Player: William, Hand: 102, Profit: -2, Outcome: LOSS
Player: J.D., Hand: 102, Profit: -2, Outcome: LOSS
Player: Dave, Hand: 102, Profit: -2, Outcome: LOSS
Player: Connor, Hand: 103, Profit: -2, Outcome: LOSS
Player: William, Hand: 103, Profit: -2, Outcome: LOSS
Player: J.D., Hand: 103, Profit: 4, Outcome: WIN
Player: Dave, Hand: 103, Profit: 2, Outcome: WIN
Player: Connor, Hand: 104, Profit: -2, Outcome: LOSS
Player: William, Hand: 104, Profit: 0, Outcome: PUSH
Player: J.D., Hand: 104, Profit: -2, Outcome: LOSS
Player: Dave, Hand: 104, Profit: -2, Outcome: LOSS
Player: Connor, Hand: 105, Profit: 0, Outcome: PUSH
Player: William, Hand: 105, Profit: -2, Outcome: LOSS
Player: J.D., Hand: 105, Profit: -2, Outcome: LOSS
Player: Dave, Hand: 105, Profit: -2, Outcome: LOSS
Player: Connor, Hand: 106, Profit: 4, Outcome: WIN
